Structure,Y
CN[C@@H](C)c1ccc(cc1)S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4nc(NC(=O)C)cn4n3,0.008
CCN(CC)c1ncc2CCc3nc(NC(=O)N4C[C@@H](F)C[C@H]4C(=O)N)sc3c2n1,0.008
CC(C)(C)c1nc2c(CCc3nc(NC(=O)N4CCC[C@@]4(C)C(=O)N)sc23)s1,0.008
COC[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3CCc4cnc(nc4c3s2)C(C)(C)C,0.008
Cc1nc(N)nc2N([C@@H]3CC[C@@H](O)CC3)C(=O)C(=Cc12)c4cnc5ccccc5c4,0.0082
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N(C4CCC4)C2=O,0.0082
Nc1ncc(cn1)c2nc(N3CCOCC3)c4nc5CCCn5c4n2,0.00826
COc1ccc(cc1)S(=O)(=O)Nc2cncc(n2)c3ccc4nc(NC(=O)C)sc4c3,0.0084
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(c(O)c3)C(F)(F)F,0.0085
CC(C)(C)c1ncc2CCc3nc(NC(=O)N4CCC[C@@]4(CO)C(=O)N)sc3c2n1,0.0085
CNc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3,0.0086
CC(C)N1CCN(CC1)[C@@H](C)c2cc3c(OCCn4cc(nc34)c5nc(C)nn5C(C)C)cc2C,0.00881
CNc1nc(C)c2C=C(C(=O)N(CCC3CC3)c2n1)c4ccc(OC)nc4,0.0089
CO[C@@H]1CC[C@H](CC1)N2C(=O)C(=Cc3c(C)nc(N)nc23)c4cn[nH]c4,0.009
CC(=O)Nc1nc2ccc(nn2c1c3ccncc3)c4cnc(Cl)c(NS(=O)(=O)C)c4.OC(=O)C(F)(F)F,0.009
CC(=O)Nc1cn2cc(ccc2n1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3,0.009
C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc(C)c(s2)c3ccnc(c3)C(C)(C)C,0.009
CCN(CC)c1ncc2CCc3nc(NC(=O)N4CC[C@H]4C(=O)N)sc3c2n1,0.009
